X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ
12856118.7860892,-238051.252317281,1855,PO1000010031,ASTRA AGRO LESTARI,CAKUNG PERMATA NUSA,CAKUNG PERMATA NUSA,Not RSPO Certified, ,2021/07/14 00:00:00+00,-2.137954477,115.48848,"-2.13795447737, 115.488480",115.48848,-2.13795447737,IDN,Indonesia,Kalimantan Selatan,Tabalong,1-Fully Verified, 
13257840.1041826,599237.591498416,1856,PO1000010032,FGV HOLDINGS BERHAD,FGV PALM INDUSTRIES SDN BHD,INDERA,Not RSPO Certified, ,2021/07/14 00:00:00+00,5.375141,119.097204,"5.375141, 119.097204",119.097204,5.375141,MYS,Malaysia,Sabah,Kinabatangan,1-Fully Verified, 
13131034.6250666,993693.663718719,1857,PO1000010033,UNKNOWN,AGUMIL PHILIPPINES,AGUSAN MILL,Not RSPO Certified, ,2021/07/14 00:00:00+00,8.890608,117.958091,"8.890608, 117.958091",117.958091,8.890608,PHL,Philippines,Palawan,Brooke's Point,3-Low Confidence, 
11045401.9600983,1001414.98328394,1858,PO1000010034,UNKNOWN,PACO TRADING SDN BHD,SOUTHERN PALM OIL INDUSTRY (1993) CO LTD. SURATHANI,Not RSPO Certified, ,2021/07/14 00:00:00+00,8.95913,99.222534,"8.95913, 99.222534",99.222534,8.95913,THA,Thailand,Surat Thani,Ban Na Doem,2-High Confidence, 
-7886046.38620114,560779.483044544,1859,PO1000010035,UNKNOWN,GRUPO AGROINDUSTRIAL RIO PAILA CASTILLA,EXTRACTORA RIO PAILA CASTILLA,Not RSPO Certified, ,2021/07/14 00:00:00+00,5.03109,-70.84156,"5.03109, -70.84156",-70.84156,5.03109,COL,Colombia,Vichada,Santa Rosalía,1-Fully Verified, 
8802204.12563742,1241935.75661278,1860,PO1000010036,UNKNOWN,GODREJ AGROVET LTD,ARIYALUR,Not RSPO Certified, ,2021/07/14 00:00:00+00,11.08666,79.071545,"11.08666, 79.071545",79.071545,11.08666,IND,India,Tamil Nadu,Ariyalur,1-Fully Verified, 
-369580.709433668,600116.321060702,1861,PO1000010037,UNKNOWN,DEKELOIL PUBLIC LIMITED,AYENOUAN MILL,Not RSPO Certified, ,2021/07/14 00:00:00+00,5.383,-3.32,"5.383, -3.32",-3.32,5.383,CIV,Côte d'Ivoire,Comoé,Sud Comoé,1-Fully Verified, 
11613755.4202094,-435864.001212344,1862,PO1000010038,RAJAWALI NUSANTARA INDONESIA (RNI),MITRA OGAN,PKS II,Not RSPO Certified, ,2021/07/14 00:00:00+00,-3.912389,104.32814,"-3.912389, 104.328140",104.32814,-3.912389,IDN,Indonesia,Sumatera Selatan,Ogan Komering Ulu,1-Fully Verified, 
11222604.5556837,46870.2689238927,1863,PO1000010039,UNKNOWN,GIGA PUTRA PERKASA,GIGA PUTRA PERKASA,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.421039,100.814372,"0.421039, 100.814372",100.814372,0.421039,IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified, 
11720401.9414181,-430546.606585005,1864,PO1000010040,KARYA CANGGIH MANDIRI UTAMA (KCMU)/GAJAH TUNGGAL,LAMPUNG INTER PERTIWI,LAMPUNG INTI PERTIWI,Not RSPO Certified, ,2021/07/14 00:00:00+00,-3.864732,105.286162,"-3.864732, 105.286162",105.286162,-3.864732,IDN,Indonesia,Lampung,Mesuji,1-Fully Verified, 
